Price,Age,Mileage,FuelType,Horsepower,MetColor,Automatic,Displacement,Doors,Weight
16605,23,29196,1,90,1,0,122,3,2568
16913,23,45321,1,90,1,0,122,3,2568
17159,24,25918,1,90,1,0,122,3,2568
18389,26,29826,1,90,0,0,122,3,2568
16913,30,23923,1,90,0,0,122,3,2579
15929,32,37904,1,90,0,0,122,3,2579
20787,27,58789,1,90,1,0,122,3,2745
22878,30,47155,1,90,1,0,122,3,2745
26445,27,12241,0,192,0,0,110,3,2612
15929,23,44203,1,69,0,0,116,3,2436
25769,25,19549,0,192,0,0,110,3,2612
24539,22,27098,0,192,0,0,110,3,2612
24108,25,20001,0,192,0,0,110,3,2612
26445,31,14292,0,192,1,0,110,3,2612
27675,32,21208,0,192,1,0,110,3,2612
27060,28,11644,0,192,0,0,110,3,2612
27983,30,21127,0,192,1,0,110,3,2612
22079,24,13494,0,110,1,0,98,3,2436
20603,24,15884,0,110,0,0,98,3,2348
20849,30,39991,0,110,1,0,98,3,2436
19619,30,42042,0,110,1,0,98,3,2436
20849,29,27281,0,110,0,1,98,3,2579
19619,28,35014,0,110,1,0,98,3,2469
20849,28,20021,0,110,1,0,98,3,2469
19988,29,16039,0,110,1,0,98,3,2469
19619,25,17678,0,110,1,0,98,3,2469
21519,27,21465,0,110,1,0,98,3,2469
19373,29,25734,0,110,1,0,98,3,2469
20849,28,27429,0,110,0,0,98,3,2469
22079,30,6891,0,110,1,0,98,3,2469
15929,29,6058,0,97,1,0,85,3,2425
19373,22,21872,0,97,1,0,85,3,2425
19619,27,18337,0,97,1,0,85,3,2425
18389,26,20314,0,97,1,0,85,3,2425
19065,22,25476,0,97,1,0,85,3,2425
19373,26,26719,0,97,0,0,85,3,2425
19619,25,15534,0,97,0,0,85,3,2425
18389,23,6214,0,97,1,0,85,3,2425
19373,32,15739,0,97,1,0,85,3,2425
18143,27,17088,0,97,0,0,85,3,2425
17159,22,30484,0,97,0,0,85,3,2425
20603,27,27383,0,97,1,0,85,3,2425
17159,22,29180,0,97,0,0,85,3,2425
20849,27,68602,1,90,0,0,122,5,2767
20849,22,62292,1,90,0,0,122,5,2767
23370,23,52195,1,90,0,0,122,5,2800
22079,27,49321,1,90,1,0,122,5,2767
19434,22,46633,0,97,1,0,85,5,2447
22079,22,44872,1,90,1,0,122,5,2767
26999,31,40378,0,192,1,0,110,5,2635
22079,22,38920,1,90,1,0,122,5,2767
19373,30,35472,0,97,1,0,85,5,2447
25215,26,34797,0,110,1,1,98,5,2601
26999,27,30985,0,192,1,0,110,5,2635
19065,25,30548,0,110,0,1,98,5,2568
16298,32,28412,0,110,1,0,98,5,2370
18758,28,26849,0,97,0,0,85,5,2447
18758,26,26719,0,97,0,0,85,5,2447
23309,23,24671,0,110,1,1,98,5,2601
19679,30,24202,0,110,1,0,98,5,2491
18389,22,23239,0,97,1,0,85,5,2447
20295,27,23101,0,110,0,0,98,5,2491
23063,31,22707,0,110,1,0,98,5,2491
22079,30,20823,0,110,1,0,98,5,2491
22079,27,20387,0,97,1,0,85,5,2447
20849,26,19996,0,110,1,0,98,5,2370
23309,28,19258,0,110,1,0,98,5,2491
18389,22,18890,0,97,1,0,85,5,2447
27368,22,18641,1,110,1,0,122,5,2811
19619,25,18467,0,97,1,0,85,5,2447
19619,28,18148,0,97,1,0,85,5,2447
15984,32,18143,0,97,1,0,85,5,2337
